origin_index,origin_date,origin_ts_ny,origin_clock_status,target_1d_date,target_1d_maturity,target_3d_date,target_3d_maturity,close,monthly_direction_3m,fast_state,slow_state,emergency_level,emergency_reversal,ny17_state_pit_status,gvz_source_date,gvz_value,gvz_cap,gvz_panic,gvz_pit_status,macro_event_v2_pit_status,bocpd_pit_status,market_shock_v3_status,scoring_eligibility,evidence_class,prospective_claim
101,2025-08-20,2025-08-20T17:00:00-04:00,READY_PROVEN_GOVERNED_NY17_SEMANTIC,2025-08-21,MATURED,2025-08-25,MATURED,3339.88,UP,ROBUST_DOWN,NOT_YET_ROBUST,NEUTRAL,OFF,READY_TO_REPLAY_RETROSPECTIVE,2025-08-20,15.4,1.0,False,BLOCKED_PIT_EXACT_RELEASE_CLOCK_NOT_PROVEN,BLOCKED_PANEL_DAILY_ASOF_JOIN_NOT_CANONICAL,BLOCKED_DATA_DAILY_ORIGIN_STATE_NOT_FOUND,NOT_FOUND_CANONICAL,B0_AND_B4_ONLY_NO_NEW_PHASE2_SCORE,RETROSPECTIVE_HISTORICAL_RECONSTRUCTION_NOT_PROSPECTIVE,false
102,2025-08-21,2025-08-21T17:00:00-04:00,READY_PROVEN_GOVERNED_NY17_SEMANTIC,2025-08-22,MATURED,2025-08-26,MATURED,3332.14,UP,ROBUST_DOWN,NOT_YET_ROBUST,NEUTRAL,OFF,READY_TO_REPLAY_RETROSPECTIVE,2025-08-21,15.44,1.0,False,BLOCKED_PIT_EXACT_RELEASE_CLOCK_NOT_PROVEN,BLOCKED_PANEL_DAILY_ASOF_JOIN_NOT_CANONICAL,BLOCKED_DATA_DAILY_ORIGIN_STATE_NOT_FOUND,NOT_FOUND_CANONICAL,B0_AND_B4_ONLY_NO_NEW_PHASE2_SCORE,RETROSPECTIVE_HISTORICAL_RECONSTRUCTION_NOT_PROSPECTIVE,false
103,2025-08-22,2025-08-22T17:00:00-04:00,READY_PROVEN_GOVERNED_NY17_SEMANTIC,2025-08-25,MATURED,2025-08-27,MATURED,3363.42,UP,MIXED,NOT_YET_ROBUST,NEUTRAL,OFF,READY_TO_REPLAY_RETROSPECTIVE,2025-08-22,15.15,1.0,False,BLOCKED_PIT_EXACT_RELEASE_CLOCK_NOT_PROVEN,BLOCKED_PANEL_DAILY_ASOF_JOIN_NOT_CANONICAL,BLOCKED_DATA_DAILY_ORIGIN_STATE_NOT_FOUND,NOT_FOUND_CANONICAL,B0_AND_B4_ONLY_NO_NEW_PHASE2_SCORE,RETROSPECTIVE_HISTORICAL_RECONSTRUCTION_NOT_PROSPECTIVE,false
104,2025-08-25,2025-08-25T17:00:00-04:00,READY_PROVEN_GOVERNED_NY17_SEMANTIC,2025-08-26,MATURED,2025-08-28,MATURED,3349.54,UP,ROBUST_UP,NOT_YET_ROBUST,NEUTRAL,OFF,READY_TO_REPLAY_RETROSPECTIVE,2025-08-25,15.09,1.0,False,BLOCKED_PIT_EXACT_RELEASE_CLOCK_NOT_PROVEN,BLOCKED_PANEL_DAILY_ASOF_JOIN_NOT_CANONICAL,BLOCKED_DATA_DAILY_ORIGIN_STATE_NOT_FOUND,NOT_FOUND_CANONICAL,B0_AND_B4_ONLY_NO_NEW_PHASE2_SCORE,RETROSPECTIVE_HISTORICAL_RECONSTRUCTION_NOT_PROSPECTIVE,false
105,2025-08-26,2025-08-26T17:00:00-04:00,READY_PROVEN_GOVERNED_NY17_SEMANTIC,2025-08-27,MATURED,2025-08-29,MATURED,3379.95,UP,ROBUST_UP,NOT_YET_ROBUST,NEUTRAL,OFF,READY_TO_REPLAY_RETROSPECTIVE,2025-08-26,15.88,1.0,False,BLOCKED_PIT_EXACT_RELEASE_CLOCK_NOT_PROVEN,BLOCKED_PANEL_DAILY_ASOF_JOIN_NOT_CANONICAL,BLOCKED_DATA_DAILY_ORIGIN_STATE_NOT_FOUND,NOT_FOUND_CANONICAL,B0_AND_B4_ONLY_NO_NEW_PHASE2_SCORE,RETROSPECTIVE_HISTORICAL_RECONSTRUCTION_NOT_PROSPECTIVE,false
106,2025-08-27,2025-08-27T17:00:00-04:00,READY_PROVEN_GOVERNED_NY17_SEMANTIC,2025-08-28,MATURED,2025-09-01,MATURED,3388.82,UP,ROBUST_UP,NOT_YET_ROBUST,NEUTRAL,OFF,READY_TO_REPLAY_RETROSPECTIVE,2025-08-27,15.9,1.0,False,BLOCKED_PIT_EXACT_RELEASE_CLOCK_NOT_PROVEN,BLOCKED_PANEL_DAILY_ASOF_JOIN_NOT_CANONICAL,BLOCKED_DATA_DAILY_ORIGIN_STATE_NOT_FOUND,NOT_FOUND_CANONICAL,B0_AND_B4_ONLY_NO_NEW_PHASE2_SCORE,RETROSPECTIVE_HISTORICAL_RECONSTRUCTION_NOT_PROSPECTIVE,false
107,2025-08-28,2025-08-28T17:00:00-04:00,READY_PROVEN_GOVERNED_NY17_SEMANTIC,2025-08-29,MATURED,2025-09-02,MATURED,3419.78,UP,ROBUST_UP,NOT_YET_ROBUST,NEUTRAL,OFF,READY_TO_REPLAY_RETROSPECTIVE,2025-08-28,16.34,1.0,False,BLOCKED_PIT_EXACT_RELEASE_CLOCK_NOT_PROVEN,BLOCKED_PANEL_DAILY_ASOF_JOIN_NOT_CANONICAL,BLOCKED_DATA_DAILY_ORIGIN_STATE_NOT_FOUND,NOT_FOUND_CANONICAL,B0_AND_B4_ONLY_NO_NEW_PHASE2_SCORE,RETROSPECTIVE_HISTORICAL_RECONSTRUCTION_NOT_PROSPECTIVE,false
108,2025-08-29,2025-08-29T17:00:00-04:00,READY_PROVEN_GOVERNED_NY17_SEMANTIC,2025-09-01,MATURED,2025-09-03,MATURED,3455.59,UP,ROBUST_UP,ROBUST_UP,NEUTRAL,OFF,READY_TO_REPLAY_RETROSPECTIVE,2025-08-29,17.39,1.0,False,BLOCKED_PIT_EXACT_RELEASE_CLOCK_NOT_PROVEN,BLOCKED_PANEL_DAILY_ASOF_JOIN_NOT_CANONICAL,BLOCKED_DATA_DAILY_ORIGIN_STATE_NOT_FOUND,NOT_FOUND_CANONICAL,B0_AND_B4_ONLY_NO_NEW_PHASE2_SCORE,RETROSPECTIVE_HISTORICAL_RECONSTRUCTION_NOT_PROSPECTIVE,false
109,2025-09-01,2025-09-01T17:00:00-04:00,READY_PROVEN_GOVERNED_NY17_SEMANTIC,2025-09-02,MATURED,2025-09-04,MATURED,3490.83,UP,ROBUST_UP,ROBUST_UP,NEUTRAL,OFF,READY_TO_REPLAY_RETROSPECTIVE,2025-08-29,17.39,1.0,False,BLOCKED_PIT_EXACT_RELEASE_CLOCK_NOT_PROVEN,BLOCKED_PANEL_DAILY_ASOF_JOIN_NOT_CANONICAL,BLOCKED_DATA_DAILY_ORIGIN_STATE_NOT_FOUND,NOT_FOUND_CANONICAL,B0_AND_B4_ONLY_NO_NEW_PHASE2_SCORE,RETROSPECTIVE_HISTORICAL_RECONSTRUCTION_NOT_PROSPECTIVE,false
110,2025-09-02,2025-09-02T17:00:00-04:00,READY_PROVEN_GOVERNED_NY17_SEMANTIC,2025-09-03,MATURED,2025-09-05,MATURED,3550.4,UP,ROBUST_UP,ROBUST_UP,UP,OFF,READY_TO_REPLAY_RETROSPECTIVE,2025-09-02,19.81,1.0,False,BLOCKED_PIT_EXACT_RELEASE_CLOCK_NOT_PROVEN,BLOCKED_PANEL_DAILY_ASOF_JOIN_NOT_CANONICAL,BLOCKED_DATA_DAILY_ORIGIN_STATE_NOT_FOUND,NOT_FOUND_CANONICAL,B0_AND_B4_ONLY_NO_NEW_PHASE2_SCORE,RETROSPECTIVE_HISTORICAL_RECONSTRUCTION_NOT_PROSPECTIVE,false
111,2025-09-03,2025-09-03T17:00:00-04:00,READY_PROVEN_GOVERNED_NY17_SEMANTIC,2025-09-04,MATURED,2025-09-08,MATURED,3573.33,UP,ROBUST_UP,ROBUST_UP,UP,OFF,READY_TO_REPLAY_RETROSPECTIVE,2025-09-03,19.53,1.0,False,BLOCKED_PIT_EXACT_RELEASE_CLOCK_NOT_PROVEN,BLOCKED_PANEL_DAILY_ASOF_JOIN_NOT_CANONICAL,BLOCKED_DATA_DAILY_ORIGIN_STATE_NOT_FOUND,NOT_FOUND_CANONICAL,B0_AND_B4_ONLY_NO_NEW_PHASE2_SCORE,RETROSPECTIVE_HISTORICAL_RECONSTRUCTION_NOT_PROSPECTIVE,false
112,2025-09-04,2025-09-04T17:00:00-04:00,READY_PROVEN_GOVERNED_NY17_SEMANTIC,2025-09-05,MATURED,2025-09-09,MATURED,3553.16,UP,ROBUST_UP,ROBUST_UP,UP,OFF,READY_TO_REPLAY_RETROSPECTIVE,2025-09-04,18.33,1.0,False,BLOCKED_PIT_EXACT_RELEASE_CLOCK_NOT_PROVEN,BLOCKED_PANEL_DAILY_ASOF_JOIN_NOT_CANONICAL,BLOCKED_DATA_DAILY_ORIGIN_STATE_NOT_FOUND,NOT_FOUND_CANONICAL,B0_AND_B4_ONLY_NO_NEW_PHASE2_SCORE,RETROSPECTIVE_HISTORICAL_RECONSTRUCTION_NOT_PROSPECTIVE,false
113,2025-09-05,2025-09-05T17:00:00-04:00,READY_PROVEN_GOVERNED_NY17_SEMANTIC,2025-09-08,MATURED,2025-09-10,MATURED,3590.01,UP,ROBUST_UP,ROBUST_UP,UP,OFF,READY_TO_REPLAY_RETROSPECTIVE,2025-09-05,18.3,1.0,False,BLOCKED_PIT_EXACT_RELEASE_CLOCK_NOT_PROVEN,BLOCKED_PANEL_DAILY_ASOF_JOIN_NOT_CANONICAL,BLOCKED_DATA_DAILY_ORIGIN_STATE_NOT_FOUND,NOT_FOUND_CANONICAL,B0_AND_B4_ONLY_NO_NEW_PHASE2_SCORE,RETROSPECTIVE_HISTORICAL_RECONSTRUCTION_NOT_PROSPECTIVE,false
114,2025-09-08,2025-09-08T17:00:00-04:00,READY_PROVEN_GOVERNED_NY17_SEMANTIC,2025-09-09,MATURED,2025-09-11,MATURED,3641.18,UP,ROBUST_UP,ROBUST_UP,UP,OFF,READY_TO_REPLAY_RETROSPECTIVE,2025-09-08,19.09,1.0,False,BLOCKED_PIT_EXACT_RELEASE_CLOCK_NOT_PROVEN,BLOCKED_PANEL_DAILY_ASOF_JOIN_NOT_CANONICAL,BLOCKED_DATA_DAILY_ORIGIN_STATE_NOT_FOUND,NOT_FOUND_CANONICAL,B0_AND_B4_ONLY_NO_NEW_PHASE2_SCORE,RETROSPECTIVE_HISTORICAL_RECONSTRUCTION_NOT_PROSPECTIVE,false
115,2025-09-09,2025-09-09T17:00:00-04:00,READY_PROVEN_GOVERNED_NY17_SEMANTIC,2025-09-10,MATURED,2025-09-12,MATURED,3638.7,UP,ROBUST_UP,ROBUST_UP,UP,OFF,READY_TO_REPLAY_RETROSPECTIVE,2025-09-09,17.99,1.0,False,BLOCKED_PIT_EXACT_RELEASE_CLOCK_NOT_PROVEN,BLOCKED_PANEL_DAILY_ASOF_JOIN_NOT_CANONICAL,BLOCKED_DATA_DAILY_ORIGIN_STATE_NOT_FOUND,NOT_FOUND_CANONICAL,B0_AND_B4_ONLY_NO_NEW_PHASE2_SCORE,RETROSPECTIVE_HISTORICAL_RECONSTRUCTION_NOT_PROSPECTIVE,false
116,2025-09-10,2025-09-10T17:00:00-04:00,READY_PROVEN_GOVERNED_NY17_SEMANTIC,2025-09-11,MATURED,2025-09-15,MATURED,3641.3,UP,ROBUST_UP,ROBUST_UP,UP,OFF,READY_TO_REPLAY_RETROSPECTIVE,2025-09-10,17.37,1.0,False,BLOCKED_PIT_EXACT_RELEASE_CLOCK_NOT_PROVEN,BLOCKED_PANEL_DAILY_ASOF_JOIN_NOT_CANONICAL,BLOCKED_DATA_DAILY_ORIGIN_STATE_NOT_FOUND,NOT_FOUND_CANONICAL,B0_AND_B4_ONLY_NO_NEW_PHASE2_SCORE,RETROSPECTIVE_HISTORICAL_RECONSTRUCTION_NOT_PROSPECTIVE,false
117,2025-09-11,2025-09-11T17:00:00-04:00,READY_PROVEN_GOVERNED_NY17_SEMANTIC,2025-09-12,MATURED,2025-09-16,MATURED,3634.06,UP,ROBUST_UP,ROBUST_UP,UP,OFF,READY_TO_REPLAY_RETROSPECTIVE,2025-09-11,16.48,1.0,False,BLOCKED_PIT_EXACT_RELEASE_CLOCK_NOT_PROVEN,BLOCKED_PANEL_DAILY_ASOF_JOIN_NOT_CANONICAL,BLOCKED_DATA_DAILY_ORIGIN_STATE_NOT_FOUND,NOT_FOUND_CANONICAL,B0_AND_B4_ONLY_NO_NEW_PHASE2_SCORE,RETROSPECTIVE_HISTORICAL_RECONSTRUCTION_NOT_PROSPECTIVE,false
118,2025-09-12,2025-09-12T17:00:00-04:00,READY_PROVEN_GOVERNED_NY17_SEMANTIC,2025-09-15,MATURED,2025-09-17,MATURED,3642.08,UP,ROBUST_UP,ROBUST_UP,UP,OFF,READY_TO_REPLAY_RETROSPECTIVE,2025-09-12,16.38,1.0,False,BLOCKED_PIT_EXACT_RELEASE_CLOCK_NOT_PROVEN,BLOCKED_PANEL_DAILY_ASOF_JOIN_NOT_CANONICAL,BLOCKED_DATA_DAILY_ORIGIN_STATE_NOT_FOUND,NOT_FOUND_CANONICAL,B0_AND_B4_ONLY_NO_NEW_PHASE2_SCORE,RETROSPECTIVE_HISTORICAL_RECONSTRUCTION_NOT_PROSPECTIVE,false
119,2025-09-15,2025-09-15T17:00:00-04:00,READY_PROVEN_GOVERNED_NY17_SEMANTIC,2025-09-16,MATURED,2025-09-18,MATURED,3683.47,UP,ROBUST_UP,ROBUST_UP,UP,OFF,READY_TO_REPLAY_RETROSPECTIVE,2025-09-15,17.9,1.0,False,BLOCKED_PIT_EXACT_RELEASE_CLOCK_NOT_PROVEN,BLOCKED_PANEL_DAILY_ASOF_JOIN_NOT_CANONICAL,BLOCKED_DATA_DAILY_ORIGIN_STATE_NOT_FOUND,NOT_FOUND_CANONICAL,B0_AND_B4_ONLY_NO_NEW_PHASE2_SCORE,RETROSPECTIVE_HISTORICAL_RECONSTRUCTION_NOT_PROSPECTIVE,false
120,2025-09-16,2025-09-16T17:00:00-04:00,READY_PROVEN_GOVERNED_NY17_SEMANTIC,2025-09-17,MATURED,2025-09-19,MATURED,3696.78,UP,ROBUST_UP,ROBUST_UP,UP,OFF,READY_TO_REPLAY_RETROSPECTIVE,2025-09-16,18.37,1.0,False,BLOCKED_PIT_EXACT_RELEASE_CLOCK_NOT_PROVEN,BLOCKED_PANEL_DAILY_ASOF_JOIN_NOT_CANONICAL,BLOCKED_DATA_DAILY_ORIGIN_STATE_NOT_FOUND,NOT_FOUND_CANONICAL,B0_AND_B4_ONLY_NO_NEW_PHASE2_SCORE,RETROSPECTIVE_HISTORICAL_RECONSTRUCTION_NOT_PROSPECTIVE,false
121,2025-09-17,2025-09-17T17:00:00-04:00,READY_PROVEN_GOVERNED_NY17_SEMANTIC,2025-09-18,MATURED,2025-09-22,MATURED,3664.37,UP,ROBUST_UP,ROBUST_UP,UP,OFF,READY_TO_REPLAY_RETROSPECTIVE,2025-09-17,17.41,1.0,False,BLOCKED_PIT_EXACT_RELEASE_CLOCK_NOT_PROVEN,BLOCKED_PANEL_DAILY_ASOF_JOIN_NOT_CANONICAL,BLOCKED_DATA_DAILY_ORIGIN_STATE_NOT_FOUND,NOT_FOUND_CANONICAL,B0_AND_B4_ONLY_NO_NEW_PHASE2_SCORE,RETROSPECTIVE_HISTORICAL_RECONSTRUCTION_NOT_PROSPECTIVE,false
122,2025-09-18,2025-09-18T17:00:00-04:00,READY_PROVEN_GOVERNED_NY17_SEMANTIC,2025-09-19,MATURED,2025-09-23,MATURED,3647.61,UP,ROBUST_UP,ROBUST_UP,UP,OFF,READY_TO_REPLAY_RETROSPECTIVE,2025-09-18,16.45,1.0,False,BLOCKED_PIT_EXACT_RELEASE_CLOCK_NOT_PROVEN,BLOCKED_PANEL_DAILY_ASOF_JOIN_NOT_CANONICAL,BLOCKED_DATA_DAILY_ORIGIN_STATE_NOT_FOUND,NOT_FOUND_CANONICAL,B0_AND_B4_ONLY_NO_NEW_PHASE2_SCORE,RETROSPECTIVE_HISTORICAL_RECONSTRUCTION_NOT_PROSPECTIVE,false
123,2025-09-19,2025-09-19T17:00:00-04:00,READY_PROVEN_GOVERNED_NY17_SEMANTIC,2025-09-22,MATURED,2025-09-24,MATURED,3688.92,UP,ROBUST_UP,ROBUST_UP,UP,OFF,READY_TO_REPLAY_RETROSPECTIVE,2025-09-19,16.76,1.0,False,BLOCKED_PIT_EXACT_RELEASE_CLOCK_NOT_PROVEN,BLOCKED_PANEL_DAILY_ASOF_JOIN_NOT_CANONICAL,BLOCKED_DATA_DAILY_ORIGIN_STATE_NOT_FOUND,NOT_FOUND_CANONICAL,B0_AND_B4_ONLY_NO_NEW_PHASE2_SCORE,RETROSPECTIVE_HISTORICAL_RECONSTRUCTION_NOT_PROSPECTIVE,false
124,2025-09-22,2025-09-22T17:00:00-04:00,READY_PROVEN_GOVERNED_NY17_SEMANTIC,2025-09-23,MATURED,2025-09-25,MATURED,3760.41,UP,ROBUST_UP,ROBUST_UP,UP,OFF,READY_TO_REPLAY_RETROSPECTIVE,2025-09-22,18.43,1.0,False,BLOCKED_PIT_EXACT_RELEASE_CLOCK_NOT_PROVEN,BLOCKED_PANEL_DAILY_ASOF_JOIN_NOT_CANONICAL,BLOCKED_DATA_DAILY_ORIGIN_STATE_NOT_FOUND,NOT_FOUND_CANONICAL,B0_AND_B4_ONLY_NO_NEW_PHASE2_SCORE,RETROSPECTIVE_HISTORICAL_RECONSTRUCTION_NOT_PROSPECTIVE,false
125,2025-09-23,2025-09-23T17:00:00-04:00,READY_PROVEN_GOVERNED_NY17_SEMANTIC,2025-09-24,MATURED,2025-09-26,MATURED,3777.03,UP,ROBUST_UP,ROBUST_UP,UP,OFF,READY_TO_REPLAY_RETROSPECTIVE,2025-09-23,19.06,1.0,False,BLOCKED_PIT_EXACT_RELEASE_CLOCK_NOT_PROVEN,BLOCKED_PANEL_DAILY_ASOF_JOIN_NOT_CANONICAL,BLOCKED_DATA_DAILY_ORIGIN_STATE_NOT_FOUND,NOT_FOUND_CANONICAL,B0_AND_B4_ONLY_NO_NEW_PHASE2_SCORE,RETROSPECTIVE_HISTORICAL_RECONSTRUCTION_NOT_PROSPECTIVE,false
126,2025-09-24,2025-09-24T17:00:00-04:00,READY_PROVEN_GOVERNED_NY17_SEMANTIC,2025-09-25,MATURED,2025-09-29,MATURED,3747.29,UP,ROBUST_UP,ROBUST_UP,UP,OFF,READY_TO_REPLAY_RETROSPECTIVE,2025-09-24,18.3,1.0,False,BLOCKED_PIT_EXACT_RELEASE_CLOCK_NOT_PROVEN,BLOCKED_PANEL_DAILY_ASOF_JOIN_NOT_CANONICAL,BLOCKED_DATA_DAILY_ORIGIN_STATE_NOT_FOUND,NOT_FOUND_CANONICAL,B0_AND_B4_ONLY_NO_NEW_PHASE2_SCORE,RETROSPECTIVE_HISTORICAL_RECONSTRUCTION_NOT_PROSPECTIVE,false
127,2025-09-25,2025-09-25T17:00:00-04:00,READY_PROVEN_GOVERNED_NY17_SEMANTIC,2025-09-26,MATURED,2025-09-30,MATURED,3757.69,UP,ROBUST_UP,ROBUST_UP,UP,OFF,READY_TO_REPLAY_RETROSPECTIVE,2025-09-25,19.07,1.0,False,BLOCKED_PIT_EXACT_RELEASE_CLOCK_NOT_PROVEN,BLOCKED_PANEL_DAILY_ASOF_JOIN_NOT_CANONICAL,BLOCKED_DATA_DAILY_ORIGIN_STATE_NOT_FOUND,NOT_FOUND_CANONICAL,B0_AND_B4_ONLY_NO_NEW_PHASE2_SCORE,RETROSPECTIVE_HISTORICAL_RECONSTRUCTION_NOT_PROSPECTIVE,false
128,2025-09-26,2025-09-26T17:00:00-04:00,READY_PROVEN_GOVERNED_NY17_SEMANTIC,2025-09-29,MATURED,2025-10-01,MATURED,3771.5,UP,ROBUST_UP,ROBUST_UP,UP,OFF,READY_TO_REPLAY_RETROSPECTIVE,2025-09-26,18.59,1.0,False,BLOCKED_PIT_EXACT_RELEASE_CLOCK_NOT_PROVEN,BLOCKED_PANEL_DAILY_ASOF_JOIN_NOT_CANONICAL,BLOCKED_DATA_DAILY_ORIGIN_STATE_NOT_FOUND,NOT_FOUND_CANONICAL,B0_AND_B4_ONLY_NO_NEW_PHASE2_SCORE,RETROSPECTIVE_HISTORICAL_RECONSTRUCTION_NOT_PROSPECTIVE,false
129,2025-09-29,2025-09-29T17:00:00-04:00,READY_PROVEN_GOVERNED_NY17_SEMANTIC,2025-09-30,MATURED,2025-10-02,MATURED,3842.19,UP,ROBUST_UP,ROBUST_UP,UP,OFF,READY_TO_REPLAY_RETROSPECTIVE,2025-09-29,19.19,1.0,False,BLOCKED_PIT_EXACT_RELEASE_CLOCK_NOT_PROVEN,BLOCKED_PANEL_DAILY_ASOF_JOIN_NOT_CANONICAL,BLOCKED_DATA_DAILY_ORIGIN_STATE_NOT_FOUND,NOT_FOUND_CANONICAL,B0_AND_B4_ONLY_NO_NEW_PHASE2_SCORE,RETROSPECTIVE_HISTORICAL_RECONSTRUCTION_NOT_PROSPECTIVE,false
130,2025-09-30,2025-09-30T17:00:00-04:00,READY_PROVEN_GOVERNED_NY17_SEMANTIC,2025-10-01,MATURED,2025-10-03,MATURED,3869.18,UP,ROBUST_UP,ROBUST_UP,UP,OFF,READY_TO_REPLAY_RETROSPECTIVE,2025-09-30,19.95,1.0,False,BLOCKED_PIT_EXACT_RELEASE_CLOCK_NOT_PROVEN,BLOCKED_PANEL_DAILY_ASOF_JOIN_NOT_CANONICAL,BLOCKED_DATA_DAILY_ORIGIN_STATE_NOT_FOUND,NOT_FOUND_CANONICAL,B0_AND_B4_ONLY_NO_NEW_PHASE2_SCORE,RETROSPECTIVE_HISTORICAL_RECONSTRUCTION_NOT_PROSPECTIVE,false
131,2025-10-01,2025-10-01T17:00:00-04:00,READY_PROVEN_GOVERNED_NY17_SEMANTIC,2025-10-02,MATURED,2025-10-06,MATURED,3875.49,UP,ROBUST_UP,ROBUST_UP,UP,OFF,READY_TO_REPLAY_RETROSPECTIVE,2025-10-01,19.05,1.0,False,BLOCKED_PIT_EXACT_RELEASE_CLOCK_NOT_PROVEN,BLOCKED_PANEL_DAILY_ASOF_JOIN_NOT_CANONICAL,BLOCKED_DATA_DAILY_ORIGIN_STATE_NOT_FOUND,NOT_FOUND_CANONICAL,B0_AND_B4_ONLY_NO_NEW_PHASE2_SCORE,RETROSPECTIVE_HISTORICAL_RECONSTRUCTION_NOT_PROSPECTIVE,false
132,2025-10-02,2025-10-02T17:00:00-04:00,READY_PROVEN_GOVERNED_NY17_SEMANTIC,2025-10-03,MATURED,2025-10-07,MATURED,3861.5,UP,ROBUST_UP,ROBUST_UP,UP,OFF,READY_TO_REPLAY_RETROSPECTIVE,2025-10-02,18.05,1.0,False,BLOCKED_PIT_EXACT_RELEASE_CLOCK_NOT_PROVEN,BLOCKED_PANEL_DAILY_ASOF_JOIN_NOT_CANONICAL,BLOCKED_DATA_DAILY_ORIGIN_STATE_NOT_FOUND,NOT_FOUND_CANONICAL,B0_AND_B4_ONLY_NO_NEW_PHASE2_SCORE,RETROSPECTIVE_HISTORICAL_RECONSTRUCTION_NOT_PROSPECTIVE,false
133,2025-10-03,2025-10-03T17:00:00-04:00,READY_PROVEN_GOVERNED_NY17_SEMANTIC,2025-10-06,MATURED,2025-10-08,MATURED,3885.26,UP,ROBUST_UP,ROBUST_UP,UP,OFF,READY_TO_REPLAY_RETROSPECTIVE,2025-10-03,17.66,1.0,False,BLOCKED_PIT_EXACT_RELEASE_CLOCK_NOT_PROVEN,BLOCKED_PANEL_DAILY_ASOF_JOIN_NOT_CANONICAL,BLOCKED_DATA_DAILY_ORIGIN_STATE_NOT_FOUND,NOT_FOUND_CANONICAL,B0_AND_B4_ONLY_NO_NEW_PHASE2_SCORE,RETROSPECTIVE_HISTORICAL_RECONSTRUCTION_NOT_PROSPECTIVE,false
134,2025-10-06,2025-10-06T17:00:00-04:00,READY_PROVEN_GOVERNED_NY17_SEMANTIC,2025-10-07,MATURED,2025-10-09,MATURED,3971.76,UP,ROBUST_UP,ROBUST_UP,UP,OFF,READY_TO_REPLAY_RETROSPECTIVE,2025-10-06,19.51,1.0,False,BLOCKED_PIT_EXACT_RELEASE_CLOCK_NOT_PROVEN,BLOCKED_PANEL_DAILY_ASOF_JOIN_NOT_CANONICAL,BLOCKED_DATA_DAILY_ORIGIN_STATE_NOT_FOUND,NOT_FOUND_CANONICAL,B0_AND_B4_ONLY_NO_NEW_PHASE2_SCORE,RETROSPECTIVE_HISTORICAL_RECONSTRUCTION_NOT_PROSPECTIVE,false
135,2025-10-07,2025-10-07T17:00:00-04:00,READY_PROVEN_GOVERNED_NY17_SEMANTIC,2025-10-08,MATURED,2025-10-10,MATURED,3996.39,UP,ROBUST_UP,ROBUST_UP,UP,OFF,READY_TO_REPLAY_RETROSPECTIVE,2025-10-07,19.94,1.0,False,BLOCKED_PIT_EXACT_RELEASE_CLOCK_NOT_PROVEN,BLOCKED_PANEL_DAILY_ASOF_JOIN_NOT_CANONICAL,BLOCKED_DATA_DAILY_ORIGIN_STATE_NOT_FOUND,NOT_FOUND_CANONICAL,B0_AND_B4_ONLY_NO_NEW_PHASE2_SCORE,RETROSPECTIVE_HISTORICAL_RECONSTRUCTION_NOT_PROSPECTIVE,false
136,2025-10-08,2025-10-08T17:00:00-04:00,READY_PROVEN_GOVERNED_NY17_SEMANTIC,2025-10-09,MATURED,2025-10-13,MATURED,4055.35,UP,ROBUST_UP,ROBUST_UP,UP,OFF,READY_TO_REPLAY_RETROSPECTIVE,2025-10-08,21.81,1.0,False,BLOCKED_PIT_EXACT_RELEASE_CLOCK_NOT_PROVEN,BLOCKED_PANEL_DAILY_ASOF_JOIN_NOT_CANONICAL,BLOCKED_DATA_DAILY_ORIGIN_STATE_NOT_FOUND,NOT_FOUND_CANONICAL,B0_AND_B4_ONLY_NO_NEW_PHASE2_SCORE,RETROSPECTIVE_HISTORICAL_RECONSTRUCTION_NOT_PROSPECTIVE,false
137,2025-10-09,2025-10-09T17:00:00-04:00,READY_PROVEN_GOVERNED_NY17_SEMANTIC,2025-10-10,MATURED,2025-10-14,MATURED,3993.19,UP,ROBUST_UP,ROBUST_UP,UP,OFF,READY_TO_REPLAY_RETROSPECTIVE,2025-10-09,21.85,1.0,False,BLOCKED_PIT_EXACT_RELEASE_CLOCK_NOT_PROVEN,BLOCKED_PANEL_DAILY_ASOF_JOIN_NOT_CANONICAL,BLOCKED_DATA_DAILY_ORIGIN_STATE_NOT_FOUND,NOT_FOUND_CANONICAL,B0_AND_B4_ONLY_NO_NEW_PHASE2_SCORE,RETROSPECTIVE_HISTORICAL_RECONSTRUCTION_NOT_PROSPECTIVE,false
138,2025-10-10,2025-10-10T17:00:00-04:00,READY_PROVEN_GOVERNED_NY17_SEMANTIC,2025-10-13,MATURED,2025-10-15,MATURED,4021.85,UP,ROBUST_UP,ROBUST_UP,UP,OFF,READY_TO_REPLAY_RETROSPECTIVE,2025-10-10,23.78,1.0,False,BLOCKED_PIT_EXACT_RELEASE_CLOCK_NOT_PROVEN,BLOCKED_PANEL_DAILY_ASOF_JOIN_NOT_CANONICAL,BLOCKED_DATA_DAILY_ORIGIN_STATE_NOT_FOUND,NOT_FOUND_CANONICAL,B0_AND_B4_ONLY_NO_NEW_PHASE2_SCORE,RETROSPECTIVE_HISTORICAL_RECONSTRUCTION_NOT_PROSPECTIVE,false
